Case,T_peak_h,alpha_off,Bus,P_BESS_kW,E_batt_wd_MWh,P_ch_kW,P_ch_over_rating,E_restored_MWh,energy_error_MWh
P2/D2,2,1,33,8.84563080429838e-15,1.86223806406282e-17,4.75284966642871e-15,0.537310427213302,1.86223806406282e-17,0
P2/D2,4,0.5,14,2.88889491658085e-31,1.21637680698141e-33,2.88889491658085e-31,1,1.21637680698141e-33,0
P2/D2,4,0.5,16,7.89117691932418e-15,3.3226008081365e-17,7.89117691932418e-15,1,3.3226008081365e-17,0
P2/D2,4,0.5,17,55.3433215179537,0.233024511654542,55.3433215179537,1,0.233024511654542,5.55111512312578e-17
P2/D2,4,0.5,18,150,0.631578947368421,150,1,0.631578947368421,0
P2/D2,4,0.5,30,1.66740384137303e-14,7.02064775314958e-17,1.66740384137303e-14,1,7.02064775314958e-17,0
P2/D2,4,0.5,33,8.84563080429838e-15,3.72447612812563e-17,8.84563080429838e-15,1,3.72447612812563e-17,0
P2/D2,4,0.7,14,2.88889491658085e-31,1.21637680698141e-33,2.88889491658085e-31,1,1.21637680698141e-33,0
P2/D2,4,0.7,16,7.89117691932418e-15,3.3226008081365e-17,7.89117691932418e-15,1,3.3226008081365e-17,0
P2/D2,4,0.7,17,55.3433215179537,0.233024511654542,55.3433215179537,1,0.233024511654542,5.55111512312578e-17
P2/D2,4,0.7,18,150,0.631578947368421,150,1,0.631578947368421,0
P2/D2,4,0.7,30,1.66740384137303e-14,7.02064775314958e-17,1.66740384137303e-14,1,7.02064775314958e-17,0
P2/D2,4,0.7,33,8.84563080429838e-15,3.72447612812563e-17,8.84563080429838e-15,1,3.72447612812563e-17,0
P2/D2,4,0.85,14,2.88889491658085e-31,1.21637680698141e-33,2.88889491658085e-31,1,1.21637680698141e-33,0
P2/D2,4,0.85,16,7.89117691932418e-15,3.3226008081365e-17,7.89117691932418e-15,1,3.3226008081365e-17,0
P2/D2,4,0.85,17,55.3433215179537,0.233024511654542,55.3433215179537,1,0.233024511654542,5.55111512312578e-17
P2/D2,4,0.85,18,150,0.631578947368421,150,1,0.631578947368421,0
P2/D2,4,0.85,30,1.66740384137303e-14,7.02064775314958e-17,1.66740384137303e-14,1,7.02064775314958e-17,0
P2/D2,4,0.85,33,8.84563080429838e-15,3.72447612812563e-17,8.84563080429838e-15,1,3.72447612812563e-17,0
P2/D2,4,1,14,2.88889491658085e-31,1.21637680698141e-33,1.55223336181757e-31,0.537310427218554,1.21637680698141e-33,0
P2/D2,4,1,16,7.89117691932418e-15,3.3226008081365e-17,4.24001164177927e-15,0.537310427218554,3.3226008081365e-17,6.16297582203915e-33
P2/D2,4,1,17,55.3433215179537,0.233024511654542,29.7365437285055,0.537310427218554,0.233024511654542,2.77555756156289e-17
P2/D2,4,1,18,150,0.631578947368421,80.596564082783,0.537310427218554,0.631578947368421,0
P2/D2,4,1,30,1.66740384137303e-14,7.02064775314958e-17,8.95913470353998e-15,0.537310427218554,7.02064775314958e-17,0
P2/D2,4,1,33,8.84563080429838e-15,3.72447612812563e-17,4.75284966647516e-15,0.537310427218554,3.72447612812563e-17,0
P2/D2,6,0.5,14,2.88889491658085e-31,1.82456521047212e-33,2.88889491658085e-31,1,1.82456521047212e-33,0
P2/D2,6,0.5,16,7.89117691932418e-15,4.98390121220475e-17,7.89117691932418e-15,1,4.98390121220475e-17,0
P2/D2,6,0.5,17,55.3433215179537,0.349536767481813,55.3433215179537,1,0.349536767481813,0
P2/D2,6,0.5,18,150,0.947368421052632,150,1,0.947368421052632,0
P2/D2,6,0.5,30,1.66740384137303e-14,1.05309716297244e-16,1.66740384137303e-14,1,1.05309716297244e-16,0
P2/D2,6,0.5,33,8.84563080429838e-15,5.58671419218845e-17,8.84563080429838e-15,1,5.58671419218845e-17,0
P2/D2,6,0.7,14,2.88889491658085e-31,1.82456521047212e-33,2.88889491658085e-31,1,1.82456521047212e-33,0
P2/D2,6,0.7,16,7.89117691932418e-15,4.98390121220475e-17,7.89117691932418e-15,1,4.98390121220475e-17,0
P2/D2,6,0.7,17,55.3433215179537,0.349536767481813,55.3433215179537,1,0.349536767481813,0
P2/D2,6,0.7,18,150,0.947368421052632,150,1,0.947368421052632,0
P2/D2,6,0.7,30,1.66740384137303e-14,1.05309716297244e-16,1.66740384137303e-14,1,1.05309716297244e-16,0
P2/D2,6,0.7,33,8.84563080429838e-15,5.58671419218845e-17,8.84563080429838e-15,1,5.58671419218845e-17,0
P2/D2,6,0.85,14,2.88889491658085e-31,1.82456521047212e-33,2.88889491658085e-31,1,1.82456521047212e-33,0
P2/D2,6,0.85,16,7.89117691932418e-15,4.98390121220475e-17,7.89117691932418e-15,1,4.98390121220475e-17,0
P2/D2,6,0.85,17,55.3433215179537,0.349536767481813,55.3433215179537,1,0.349536767481813,0
P2/D2,6,0.85,18,150,0.947368421052632,150,1,0.947368421052632,0
P2/D2,6,0.85,30,1.66740384137303e-14,1.05309716297244e-16,1.66740384137303e-14,1,1.05309716297244e-16,0
P2/D2,6,0.85,33,8.84563080429838e-15,5.58671419218845e-17,8.84563080429838e-15,1,5.58671419218845e-17,0
P2/D2,6,1,14,2.88889491658085e-31,1.82456521047212e-33,1.55223336181757e-31,0.537310427218554,1.82456521047212e-33,0
P2/D2,6,1,16,7.89117691932418e-15,4.98390121220475e-17,4.24001164177927e-15,0.537310427218554,4.98390121220475e-17,6.16297582203915e-33
P2/D2,6,1,17,55.3433215179537,0.349536767481813,29.7365437285055,0.537310427218554,0.349536767481813,5.55111512312578e-17
P2/D2,6,1,18,150,0.947368421052632,80.596564082783,0.537310427218554,0.947368421052631,-1.11022302462516e-16
P2/D2,6,1,30,1.66740384137303e-14,1.05309716297244e-16,8.95913470353998e-15,0.537310427218554,1.05309716297244e-16,0
P2/D2,6,1,33,8.84563080429838e-15,5.58671419218845e-17,4.75284966647516e-15,0.537310427218554,5.58671419218845e-17,0
P2/D3,2,0.5,14,5.2971683656446e-14,1.11519334013571e-16,5.29716836564461e-14,1,1.11519334013571e-16,2.46519032881566e-32
P2/D3,2,0.5,16,135.473396855428,0.285207151274586,135.473396855428,1,0.285207151274586,0
P2/D3,2,0.5,17,195,0.410526315789474,195,1,0.410526315789474,5.55111512312578e-17
P2/D3,2,0.5,18,195,0.410526315789474,195,1,0.410526315789474,5.55111512312578e-17
P2/D3,2,0.5,30,2.67624425967714e-14,5.63419844142556e-17,2.67624425967714e-14,1,5.63419844142556e-17,0
P2/D3,2,0.5,33,6.35060481546324e-14,1.33696943483437e-16,6.35060481546324e-14,1,1.33696943483437e-16,0
P2/D3,2,0.7,14,5.2971683656446e-14,1.11519334013571e-16,4.9115515346996e-14,0.927203214184023,1.11519334013571e-16,0
P2/D3,2,0.7,16,135.473396855428,0.285207151274586,125.611369000781,0.927203214184023,0.285207151274586,0
P2/D3,2,0.7,17,195,0.410526315789474,180.804626765884,0.927203214184023,0.410526315789474,0
P2/D3,2,0.7,18,195,0.410526315789474,180.804626765884,0.927203214184023,0.410526315789474,0
P2/D3,2,0.7,30,2.67624425967714e-14,5.63419844142556e-17,2.48142227951419e-14,0.927203214184023,5.63419844142556e-17,0
P2/D3,2,0.7,33,6.35060481546324e-14,1.33696943483437e-16,5.88830119691005e-14,0.927203214184023,1.33696943483437e-16,0
P2/D3,2,0.85,14,5.2971683656446e-14,1.11519334013571e-16,3.05370894825026e-14,0.576479495735012,1.11519334013571e-16,0
P2/D3,2,0.85,16,135.473396855428,0.285207151274586,78.0976355047264,0.576479495735012,0.285207151274586,0
P2/D3,2,0.85,17,195,0.410526315789474,112.413501668327,0.576479495735012,0.410526315789474,0
P2/D3,2,0.85,18,195,0.410526315789474,112.413501668327,0.576479495735012,0.410526315789474,0
P2/D3,2,0.85,30,2.67624425967714e-14,5.63419844142556e-17,1.5427999412824e-14,0.576479495735012,5.63419844142556e-17,0
P2/D3,2,0.85,33,6.35060481546324e-14,1.33696943483437e-16,3.66099346163059e-14,0.576479495735012,1.33696943483437e-16,0
P2/D3,2,1,14,5.2971683656446e-14,1.11519334013571e-16,1.17023245819334e-14,0.220916606272706,1.11519334013571e-16,0
P2/D3,2,1,16,135.473396855428,0.285207151274586,29.9283230735367,0.220916606272706,0.285207151274586,0
P2/D3,2,1,17,195,0.410526315789474,43.0787382231777,0.220916606272706,0.410526315789474,0
P2/D3,2,1,18,195,0.410526315789474,43.0787382231777,0.220916606272706,0.410526315789474,0
P2/D3,2,1,30,2.67624425967714e-14,5.63419844142556e-17,5.91226799404685e-15,0.220916606272706,5.63419844142556e-17,0
P2/D3,2,1,33,6.35060481546324e-14,1.33696943483437e-16,1.40295406361124e-14,0.220916606272706,1.33696943483437e-16,-2.46519032881566e-32
P2/D3,4,0.5,14,5.2971683656446e-14,2.23038668027141e-16,5.29716836564461e-14,1,2.23038668027141e-16,4.93038065763132e-32
P2/D3,4,0.5,16,135.473396855428,0.570414302549171,135.473396855428,1,0.570414302549171,0
P2/D3,4,0.5,17,195,0.821052631578947,195,1,0.821052631578948,1.11022302462516e-16
P2/D3,4,0.5,18,195,0.821052631578947,195,1,0.821052631578948,1.11022302462516e-16
P2/D3,4,0.5,30,2.67624425967714e-14,1.12683968828511e-16,2.67624425967714e-14,1,1.12683968828511e-16,0
P2/D3,4,0.5,33,6.35060481546324e-14,2.67393886966873e-16,6.35060481546324e-14,1,2.67393886966873e-16,0
P2/D3,4,0.7,14,5.2971683656446e-14,2.23038668027141e-16,4.91155153476587e-14,0.927203214196533,2.23038668027141e-16,0
P2/D3,4,0.7,16,135.473396855428,0.570414302549171,125.611369002476,0.927203214196533,0.570414302549171,0
P2/D3,4,0.7,17,195,0.821052631578947,180.804626768324,0.927203214196533,0.821052631578947,-1.11022302462516e-16
P2/D3,4,0.7,18,195,0.821052631578947,180.804626768324,0.927203214196533,0.821052631578947,-1.11022302462516e-16
P2/D3,4,0.7,30,2.67624425967714e-14,1.12683968828511e-16,2.48142227954767e-14,0.927203214196533,1.12683968828511e-16,-2.46519032881566e-32
P2/D3,4,0.7,33,6.35060481546324e-14,2.67393886966873e-16,5.8883011969895e-14,0.927203214196533,2.67393886966873e-16,0
P2/D3,4,0.85,14,5.2971683656446e-14,2.23038668027141e-16,3.05370894825026e-14,0.576479495735012,2.23038668027141e-16,0
P2/D3,4,0.85,16,135.473396855428,0.570414302549171,78.0976355047264,0.576479495735012,0.570414302549171,0
P2/D3,4,0.85,17,195,0.821052631578947,112.413501668327,0.576479495735012,0.821052631578947,0
P2/D3,4,0.85,18,195,0.821052631578947,112.413501668327,0.576479495735012,0.821052631578947,0
P2/D3,4,0.85,30,2.67624425967714e-14,1.12683968828511e-16,1.5427999412824e-14,0.576479495735012,1.12683968828511e-16,0
P2/D3,4,0.85,33,6.35060481546324e-14,2.67393886966873e-16,3.66099346163059e-14,0.576479495735012,2.67393886966873e-16,0
P2/D3,4,1,14,5.2971683656446e-14,2.23038668027141e-16,1.17023245819334e-14,0.220916606272706,2.23038668027141e-16,0
P2/D3,4,1,16,135.473396855428,0.570414302549171,29.9283230735367,0.220916606272706,0.570414302549171,0
P2/D3,4,1,17,195,0.821052631578947,43.0787382231777,0.220916606272706,0.821052631578947,0
P2/D3,4,1,18,195,0.821052631578947,43.0787382231777,0.220916606272706,0.821052631578947,0
P2/D3,4,1,30,2.67624425967714e-14,1.12683968828511e-16,5.91226799404685e-15,0.220916606272706,1.12683968828511e-16,0
P2/D3,4,1,33,6.35060481546324e-14,2.67393886966873e-16,1.40295406361124e-14,0.220916606272706,2.67393886966873e-16,-4.93038065763132e-32
P2/D3,6,0.5,14,5.2971683656446e-14,3.34558002040712e-16,5.29716836564461e-14,1,3.34558002040712e-16,4.93038065763132e-32
P2/D3,6,0.5,16,135.473396855428,0.855621453823757,135.473396855428,1,0.855621453823757,0
P2/D3,6,0.5,17,195,1.23157894736842,195,1,1.23157894736842,0
P2/D3,6,0.5,18,195,1.23157894736842,195,1,1.23157894736842,0
P2/D3,6,0.5,30,2.67624425967714e-14,1.69025953242767e-16,2.67624425967714e-14,1,1.69025953242767e-16,-2.46519032881566e-32
P2/D3,6,0.5,33,6.35060481546324e-14,4.0109083045031e-16,6.35060481546324e-14,1,4.0109083045031e-16,-4.93038065763132e-32
P2/D3,6,0.7,14,5.2971683656446e-14,3.34558002040712e-16,4.91155153476587e-14,0.927203214196533,3.34558002040712e-16,4.93038065763132e-32
P2/D3,6,0.7,16,135.473396855428,0.855621453823757,125.611369002476,0.927203214196533,0.855621453823757,-1.11022302462516e-16
P2/D3,6,0.7,17,195,1.23157894736842,180.804626768324,0.927203214196533,1.23157894736842,0
P2/D3,6,0.7,18,195,1.23157894736842,180.804626768324,0.927203214196533,1.23157894736842,0
P2/D3,6,0.7,30,2.67624425967714e-14,1.69025953242767e-16,2.48142227954767e-14,0.927203214196533,1.69025953242767e-16,0
P2/D3,6,0.7,33,6.35060481546324e-14,4.0109083045031e-16,5.8883011969895e-14,0.927203214196533,4.0109083045031e-16,4.93038065763132e-32
P2/D3,6,0.85,14,5.2971683656446e-14,3.34558002040712e-16,3.05370894826627e-14,0.576479495738034,3.34558002040712e-16,0
P2/D3,6,0.85,16,135.473396855428,0.855621453823757,78.0976355051359,0.576479495738034,0.855621453823757,0
P2/D3,6,0.85,17,195,1.23157894736842,112.413501668917,0.576479495738034,1.23157894736842,0
P2/D3,6,0.85,18,195,1.23157894736842,112.413501668917,0.576479495738034,1.23157894736842,0
P2/D3,6,0.85,30,2.67624425967714e-14,1.69025953242767e-16,1.54279994129049e-14,0.576479495738034,1.69025953242767e-16,2.46519032881566e-32
P2/D3,6,0.85,33,6.35060481546324e-14,4.0109083045031e-16,3.66099346164978e-14,0.576479495738034,4.0109083045031e-16,0
P2/D3,6,1,14,5.2971683656446e-14,3.34558002040712e-16,1.17023245819334e-14,0.220916606272706,3.34558002040712e-16,0
P2/D3,6,1,16,135.473396855428,0.855621453823757,29.9283230735367,0.220916606272706,0.855621453823757,-1.11022302462516e-16
P2/D3,6,1,17,195,1.23157894736842,43.0787382231777,0.220916606272706,1.23157894736842,0
P2/D3,6,1,18,195,1.23157894736842,43.0787382231777,0.220916606272706,1.23157894736842,0
P2/D3,6,1,30,2.67624425967714e-14,1.69025953242767e-16,5.91226799404685e-15,0.220916606272706,1.69025953242767e-16,0
P2/D3,6,1,33,6.35060481546324e-14,4.0109083045031e-16,1.40295406361124e-14,0.220916606272706,4.0109083045031e-16,-9.86076131526265e-32
P2/D4,2,0.5,14,135.558618708833,0.285386565702807,121.269099617612,0.894587896901536,0.285386565702807,0
P2/D4,2,0.5,16,240,0.505263157894737,214.701095256369,0.894587896901536,0.505263157894737,0
P2/D4,2,0.5,17,240,0.505263157894737,214.701095256369,0.894587896901536,0.505263157894737,0
P2/D4,2,0.5,18,240,0.505263157894737,214.701095256369,0.894587896901536,0.505263157894737,0
P2/D4,2,0.5,30,6.49285870657687e-14,1.36691762243724e-16,5.80843281519543e-14,0.894587896901536,1.36691762243724e-16,0
P2/D4,2,0.7,14,135.558618708833,0.285386565702807,80.9537869126602,0.597186572744158,0.285386565702807,0
P2/D4,2,0.7,16,240,0.505263157894737,143.324777458598,0.597186572744158,0.505263157894737,-1.11022302462516e-16
P2/D4,2,0.7,17,240,0.505263157894737,143.324777458598,0.597186572744158,0.505263157894737,-1.11022302462516e-16
P2/D4,2,0.7,18,240,0.505263157894737,143.324777458598,0.597186572744158,0.505263157894737,-1.11022302462516e-16
P2/D4,2,0.7,30,6.49285870657687e-14,1.36691762243724e-16,3.87744803829271e-14,0.597186572744158,1.36691762243724e-16,0
P2/D4,2,0.85,14,135.558618708833,0.285386565702807,50.2983391482633,0.371044937071093,0.285386565702807,0
P2/D4,2,0.85,16,240,0.505263157894737,89.0507848970624,0.371044937071093,0.505263157894737,0
P2/D4,2,0.85,17,240,0.505263157894737,89.0507848970624,0.371044937071093,0.505263157894737,0
P2/D4,2,0.85,18,240,0.505263157894737,89.0507848970624,0.371044937071093,0.505263157894737,0
P2/D4,2,0.85,30,6.49285870657687e-14,1.36691762243724e-16,2.40914235019332e-14,0.371044937071093,1.36691762243724e-16,2.46519032881566e-32
P2/D4,2,1,14,135.558618708833,0.285386565702807,19.261673866162,0.142091104568823,0.285386565702807,0
P2/D4,2,1,16,240,0.505263157894737,34.1018650965175,0.142091104568823,0.505263157894737,0
P2/D4,2,1,17,240,0.505263157894737,34.1018650965175,0.142091104568823,0.505263157894737,0
P2/D4,2,1,18,240,0.505263157894737,34.1018650965175,0.142091104568823,0.505263157894737,0
P2/D4,2,1,30,6.49285870657687e-14,1.36691762243724e-16,9.22577465426807e-15,0.142091104568823,1.36691762243724e-16,0
P2/D4,4,0.5,14,135.558618708833,0.570773131405613,121.269099619191,0.894587896913182,0.570773131405613,1.11022302462516e-16
P2/D4,4,0.5,16,240,1.01052631578947,214.701095259164,0.894587896913182,1.01052631578947,2.22044604925031e-16
P2/D4,4,0.5,17,240,1.01052631578947,214.701095259164,0.894587896913182,1.01052631578947,2.22044604925031e-16
P2/D4,4,0.5,18,240,1.01052631578947,214.701095259164,0.894587896913182,1.01052631578947,2.22044604925031e-16
P2/D4,4,0.5,30,6.49285870657687e-14,2.73383524487447e-16,5.80843281527105e-14,0.894587896913182,2.73383524487447e-16,4.93038065763132e-32
P2/D4,4,0.7,14,135.558618708833,0.570773131405613,80.9537869135396,0.597186572750645,0.570773131405613,0
P2/D4,4,0.7,16,240,1.01052631578947,143.324777460155,0.597186572750645,1.01052631578947,0
P2/D4,4,0.7,17,240,1.01052631578947,143.324777460155,0.597186572750645,1.01052631578947,0
