Bus,P1_D1,P1_D2,P1_D3,P1_D4,P2_D1,P2_D2,P2_D3,P2_D4
1,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
2,1.04678678161482,1.04651447973318,1.04630570472639,1.04609268271908,1.04675991034822,1.04645960698829,1.04622306102408,1.04597515334492
3,1.03160755596314,1.03008897603316,1.02892167045553,1.02772784265581,1.03112449863318,1.02921901896932,1.02771812676416,1.02614517246379
4,1.02317663616056,1.02073692772762,1.01886119509145,1.0169425002183,1.02235624097179,1.01926428322533,1.01682888953533,1.01427660782271
5,1.01477217234044,1.0113740523549,1.00876124013176,1.00608837850517,1.01360079114161,1.00927436225868,1.00586670202588,1.00229554495239
6,0.994005420836966,0.988316085820299,0.983938829132327,0.979458415244135,0.991982428821149,0.984689215169851,0.97893823040654,0.972904827076624
7,0.989896284366338,0.983655812464556,0.978848224896052,0.973921445298642,0.987577649578098,0.979494082549266,0.973104717543128,0.966386392545361
8,0.972951755090388,0.96388326557243,0.95688304387403,0.949696170260865,0.969142269845189,0.957065551867778,0.947493485192533,0.937401402335789
9,0.96456606413012,0.953817100931959,0.94551456589747,0.936985854159068,0.959868662237312,0.945418455264176,0.933955698622071,0.921860381839939
10,0.95659737792233,0.944157459686204,0.934544941964991,0.924666904344049,0.951005964967539,0.934167737478008,0.920803579108552,0.906694471997126
11,0.955498156930608,0.942862763556413,0.933098470978139,0.923063775802462,0.94962976877463,0.932392653802921,0.918711718801698,0.904267937701007
12,0.953539091650082,0.940533238475927,0.930481332421657,0.920149796419906,0.947144065886156,0.929149814865301,0.91486766872466,0.899788777247639
13,0.94535713991088,0.930701575649827,0.919367693622496,0.907711912556312,0.936608211435186,0.915228697042126,0.898252399132951,0.880321244140625
14,0.942213295499606,0.926869053073011,0.915000005420116,0.902791408478223,0.932477376559333,0.909681001636609,0.891576704196201,0.872450896936925
15,0.94037402101788,0.924683092684054,0.912544025371661,0.900055913448422,0.929683114701472,0.905844817800361,0.886910579509674,0.866905313483778
16,0.938480916265488,0.922376269403416,0.909915177761588,0.897093913067959,0.926638301646559,0.901549134809864,0.881619512472573,0.860560483607562
17,0.935383547832215,0.918461589215802,0.905364492508696,0.891885397692656,0.92236587543402,0.895590928221281,0.874317129539201,0.85183226247367
18,0.934236803705519,0.916917226652918,0.903511054546585,0.889712603640758,0.921202896440947,0.894006989312831,0.872397573001393,0.849556739657441
19,1.04616652239305,1.04581557915735,1.04554762234936,1.04527524406415,1.04625684349654,1.04595639468974,1.04571973406174,1.04547170619471
20,1.04170091629703,1.04063942252142,1.03983683122337,1.03902832212972,1.04285083340783,1.04254939819243,1.04231195991929,1.04206311694516
21,1.04072270484831,1.03945510985454,1.03849745574902,1.03753346063861,1.04218013160999,1.04187850208019,1.04164091061859,1.04139190707549
22,1.03956518816686,1.03792876309126,1.03669366723545,1.03545151836551,1.04157331031659,1.04127150489834,1.0410337747749,1.04078462588898
23,1.02819473229834,1.02667101038624,1.02549974380281,1.02430185565015,1.02771003936934,1.02579810288666,1.0242921055912,1.02271378645055
24,1.02184573795724,1.02031243621179,1.01913379000548,1.01792833709698,1.02135799779074,1.01943403184531,1.0179185233972,1.0163302090932
25,1.01868177702751,1.01714368791521,1.01596135385723,1.01475212054486,1.01819251403088,1.01626253658586,1.01474227502603,1.01314896568724
26,0.992032865020491,0.986241417985934,0.981786530558441,0.977227523889992,0.989855590537096,0.982352336818348,0.976439671810297,0.97024062465728
27,0.989590102415021,0.983783503990231,0.97931683804252,0.974745657696793,0.987009286249955,0.979212955127666,0.973074722398418,0.966644608747583
28,0.978690528288337,0.972816302670237,0.968297064073322,0.963671546995732,0.974436911488566,0.965419755169299,0.958341201906657,0.95094717125583
29,0.970860764828117,0.964937909243967,0.960380865809789,0.955716274781737,0.96534118456803,0.955403147279401,0.947615603386719,0.939495073243622
30,0.967471718521838,0.961527780234097,0.956954346952043,0.952272815516226,0.961233711134902,0.950780228421111,0.942596295364244,0.934070027494198
31,0.963508393710457,0.95753968958113,0.952947001729747,0.948245567518298,0.95647998267218,0.945456695118296,0.936833881396064,0.927857735970674
32,0.962636508220763,0.956662354467446,0.952065429716611,0.947359615951556,0.955348655850681,0.944141247687044,0.935376790420322,0.926255620085143
33,0.962366358548939,0.956390515718877,0.95179227776295,0.947085106571358,0.954773248826945,0.943354319874934,0.934427437779146,0.925140257053803
