Cases,P090,P100,P110,Required_090,Required_100,Required_110,DeltaP_090_kW,DeltaP_110_kW,Pct_090,Pct_110
P1/D1,107.948599874588,0,0,1,0,0,107.948599874588,0,NaN,NaN
P1/D2,461.123596834885,0,0,1,0,0,461.123596834885,0,NaN,NaN
P1/D3,738.79589506463,248.534779325904,0,1,1,0,490.261115738726,-248.534779325904,197.2605673413,-100
P1/D4,1019.28656350747,510.087114526985,165.239500256701,1,1,1,509.19944898049,-344.847614270284,99.8259776573031,-67.6056313616291
P2/D1,231.924233091896,0,0,1,0,0,231.924233091896,0,NaN,NaN
P2/D2,668.144478112037,205.343321517954,0,1,1,0,462.801156594083,-205.343321517954,225.379210374572,-100
P2/D3,1003.02550488514,525.473396855429,193.865587938466,1,1,1,477.552108029712,-331.607808916962,90.8803587179693,-63.1064885304167
P2/D4,1343.35297978308,855.558618708833,506.693278822593,1,1,1,487.794361074249,-348.86533988624,57.0147211900459,-40.7763223065569
