Case,P_BESS_total_kW,Lmax_pct,loadingResidual_pct,Vmin_pu,BFS_residual_pu,BFS_iters,exitflag,firstorderopt,fminconConstrViolation,iterations,funcCount,nValidStarts,objSpread_kW,allocSpread_kW,critFrom,critTo,Class
P1/D1,0,92.3202537697789,-7.6797462302211,0.934236028882305,4.17461593103414e-13,12,NaN,NaN,NaN,0,0,0,0,0,2,3,THERMALLY FEASIBLE WITHOUT STORAGE
P1/D2,0,99.8718417493235,-0.128158250676535,0.916917029133157,2.62643312739008e-13,13,NaN,NaN,NaN,0,0,0,0,0,5,6,THERMALLY FEASIBLE WITHOUT STORAGE
P1/D3,248.534779325904,100,4.2632564145606e-14,0.924838779571642,9.73034012808586e-13,12,1,1.4882104658832e-15,4.2632564145606e-14,5,40,16,3.33066907387547e-12,3.33066907387547e-12,5,6,THERMAL RESTORATION REQUIRED
P1/D4,510.087114526985,100,2.8421709430404e-14,0.929200258528577,5.45626842714037e-13,12,1,1.05208968046803e-15,2.8421709430404e-14,7,56,16,2.33146835171283e-12,2.36269337428041e-12,5,6,THERMAL RESTORATION REQUIRED
P2/D1,0,95.0675864607536,-4.93241353924644,0.921202716198612,2.2475109834604e-13,13,NaN,NaN,NaN,0,0,0,0,0,2,3,THERMALLY FEASIBLE WITHOUT STORAGE
P2/D2,205.343321517954,100,2.8421709430404e-14,0.913090987751289,5.28336675188502e-13,13,1,9.46624944332795e-16,2.8421709430404e-14,12,103,16,0.00200617652551527,0.0189357601803425,5,6,THERMAL RESTORATION REQUIRED
P2/D3,525.473396855429,100,7.105427357601e-14,0.919489944657659,2.72916562096099e-13,13,1,2.49276847238351e-15,7.105427357601e-14,7,63,16,1.38609991262584e-05,0.00153549231886081,5,6,THERMAL RESTORATION REQUIRED
P2/D4,855.558618708833,100,7.105427357601e-14,0.924173945170226,1.98219617578373e-13,13,1,2.62202797704867e-15,7.105427357601e-14,9,72,16,9.89351267577376e-07,1.87355914888297e-06,5,6,THERMAL RESTORATION REQUIRED
