Placement,Demand,lambda,EVCS_buses,P_per_EVCS_MW,pf_EVCS
P1,D1,0.6,"6;10;14;18;22;26",0.15,0.95
P1,D2,1.0,"6;10;14;18;22;26",0.15,0.95
P1,D3,1.3,"6;10;14;18;22;26",0.15,0.95
P1,D4,1.6,"6;10;14;18;22;26",0.15,0.95
P2,D1,0.6,"14;16;17;18;30;33",0.15,0.95
P2,D2,1.0,"14;16;17;18;30;33",0.15,0.95
P2,D3,1.3,"14;16;17;18;30;33",0.15,0.95
P2,D4,1.6,"14;16;17;18;30;33",0.15,0.95
